PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
6389,2005,LA,New Orleans,Charity Hospital Medical College,Med coll,1856,,1884,,1875,1500,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/02005.gif
6390,2000,LA,Mansfield,Mansfield Female College,Coll,1855,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02000.gif
6391,2033,LA,Washington,Washington College,Coll,,1858,1858,,1858,1800,1858,1800,https://library.princeton.edu/visual_materials/mcmullen/gif/02033.gif
6392,2032,LA,St. James,St. Mary Jefferson College,Coll,1864,,1884,,1875,5000,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/02032.gif
6393,2031,LA,St. James,Louisiana College,Coll,,1858,1858,,1858,3000,1858,3000,https://library.princeton.edu/visual_materials/mcmullen/gif/02031.gif
6394,2024,LA,New Orleans,Straight University,Coll,1869,,1884,,1875,2500,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/02024.gif
6395,2022,LA,New Orleans,New Orleans University,Coll,1873,,1884,,1875,300,1875,300,https://library.princeton.edu/visual_materials/mcmullen/gif/02022.gif
6396,2013,LA,New Orleans,Leland University,Coll,1870,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02013.gif
6397,2011,LA,New Orleans,Jesuits' College,Coll,1849,,1858,,1858,2000,1858,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/02011.gif
6398,2066,LA,New Orleans,College of the Immaculate Conception,Coll,1848,,1870,,1870,6000,1870,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/02066.gif
6399,2002,LA,Mt. Lebanon,Mt. Lebanon University,Coll,1853,,1870,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02002.gif
6400,1997,LA,Jackson,Centenary College of Louisiana,Coll,1825,,1885,,1845,1850,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/01997.gif
6401,1995,LA,Grand Coteau,St. Charles College,Coll,1836,,1884,,1858,6000,1875,5500,https://library.princeton.edu/visual_materials/mcmullen/gif/01995.gif
6402,1993,LA,Bringiers,Jefferson College Library,Coll,,1845,1858,,1845,5500,1858,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/01993.gif
6403,1988,LA,Baton Rouge,College of St. Peter and St. Paul,Coll,1838,,1858,,1858,300,1858,300,https://library.princeton.edu/visual_materials/mcmullen/gif/01988.gif
6404,1987,LA,Baton Rouge,Baton Rouge College,Coll,,1845,1858,,1845,300,1858,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/01987.gif
6405,12015,CA,Berkeley,College of California,Coll,1862,,,1869,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12015.gif
6406,58,CA,Berkeley,University of California Agri. Mining and Mechanic Arts College,Agri coll,1869,,1918,,1870,2000,1875,12000,https://library.princeton.edu/visual_materials/mcmullen/gif/00058.gif
6407,91,CA,Los Angeles,St. Vincent's College,Coll,1867,,1884,,1875,1000,1875,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/00091.gif
6408,123,CA,Petaluma,Petaluma College,Coll,1866,,1870,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00123.gif
6409,186,CA,San Francisco,Sacred Heart College Library,Coll,1872,,1918,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00186.gif
6410,189,CA,San Francisco,St. Ignatius College,Coll,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00189.gif
6411,194,CA,San Francisco,St. Mary's College,Coll,1863,,1884,,1875,3500,1875,3500,https://library.princeton.edu/visual_materials/mcmullen/gif/00194.gif
6412,210,CA,San Francisco,Union College,Coll,1862,,1870,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00210.gif
6413,231,CA,Santa Barbara,College of Our Lady of Guadalupe,Coll,,1870,1870,,1870,500,1870,500,https://library.princeton.edu/visual_materials/mcmullen/gif/00231.gif
6414,232,CA,Santa Barbara,Franciscan College,Coll,1854,,1875,,1870,1500,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/00232.gif
6415,238,CA,Santa Clara,University of Santa Clara,Coll,1851,,1918,,1855,8000,1875,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/00238.gif
6416,239,CA,Santa Clara,University of the Pacific,Coll,1851,,1914,,1870,2000,1875,1025,https://library.princeton.edu/visual_materials/mcmullen/gif/00239.gif
6417,244,CA,Santa Inez,College of Our Lady of Guadaloupe,Coll,1844,,1875,,1857,853,1875,550,https://library.princeton.edu/visual_materials/mcmullen/gif/00244.gif
6418,246,CA,Santa Rosa,Christian College,Coll,,1875,1875,,1875,300,1875,300,https://library.princeton.edu/visual_materials/mcmullen/gif/00246.gif
6419,248,CA,Santa Rosa,Pacific Methodist College,Coll,1861,,1884,,1875,490,1875,490,https://library.princeton.edu/visual_materials/mcmullen/gif/00248.gif
6420,257,CA,Sonoma,Sonoma College,Coll,1858,,1870,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00257.gif
6421,275,CA,Vacaville,California College,Coll,1871,,1875,,1875,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/00275.gif
6422,214,CA,San Francisco,University of California Medical Dept.,Med coll,1864,,1875,,1875,1600,1875,1600,https://library.princeton.edu/visual_materials/mcmullen/gif/00214.gif
6423,12021,CA,San Francisco,Cooper Medical College,Med coll,1858,,1900,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12021.gif
6424,117,CA,Oakland,Van der Naillen? School of Engineering Library,Sci eng coll,1864,,1918,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00117.gif
6425,115,CA,Oakland,Pacific Theological Seminary,Theo coll,1869,,1918,,1875,1860,1875,1860,https://library.princeton.edu/visual_materials/mcmullen/gif/00115.gif
6426,209,CA,San Francisco,Theological Seminary of San Francisco,Theo coll,1871,,1918,,1875,5000,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/00209.gif
6427,54,CA,Benicio,Missionary College of St. Augustine,Coll,1870,,1884,,1875,600,1875,600,https://library.princeton.edu/visual_materials/mcmullen/gif/00054.gif
6428,6430,TX,Austin,Texas Military Institute,Mil acad,1867,,1875,,1875,1000,1875,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/06430.gif
6429,6458,TX,Independence,Baylor University Theological Dept,Theo coll,1864,,1870,,1870,200,1870,200,https://library.princeton.edu/visual_materials/mcmullen/gif/06458.gif
6430,31034,TX,Chapel Hill,Chapel Hill Female College,Coll,1852,,1860,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31034.gif
6431,6432,TX,Belton,Mary Hardin Baylor University,Coll,1866,,1866,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06432.gif
6432,6473,TX,Waxahachie,Marirn? College,Coll,1871,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06473.gif
6433,6472,TX,Waco,Waco University,Coll,1861,,1875,,1870,650,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06472.gif
6434,6466,TX,Tehuacana,Trinity University,Coll,1869,,1884,,1875,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06466.gif
6435,6465,TX,Sherman,Austin College,Coll,1850,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06465.gif
6436,6463,TX,Rutersville,Texas Monumental and Military Institute,Mil acad,,1850,1857,,1850,100,1857,350,https://library.princeton.edu/visual_materials/mcmullen/gif/06463.gif
6437,6459,TX,Marshall,Wiley University,Coll,1875,,1875,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/06459.gif
6438,6438,TX,College Station,Agri and Mech. College of Texas,Agri coll,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06438.gif
6439,6456,TX,Huntsville,Austin College Library,Coll,1854,,1875,,1875,2500,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/06456.gif
6440,6457,TX,Independence,Baylor University,Coll,1845,,1884,,1850,300,1875,1300,https://library.princeton.edu/visual_materials/mcmullen/gif/06457.gif
6441,6452,TX,Henderson,Henderson College,Coll,1875,,1875,,1875,300,1875,300,https://library.princeton.edu/visual_materials/mcmullen/gif/06452.gif
6442,6451,TX,Georgetown,Southwestern University,Coll,1844,,1884,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/06451.gif
6443,6450,TX,Galveston,University of St. Mary,Coll,1855,,1884,,1875,300,1875,300,https://library.princeton.edu/visual_materials/mcmullen/gif/06450.gif
6444,31035,TX,Fort Worth,Add? Ran? Male and Female College,Coll,1873,,1990,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31035.gif
6445,12799,TX,Clarksville,Mckenzie College,Coll,,1853,1853,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12799.gif
6446,6436,TX,Chapel Hill,Soule University,Coll,1856,,1875,,1875,700,1875,700,https://library.princeton.edu/visual_materials/mcmullen/gif/06436.gif
6447,6435,TX,Brownsville,St. Joseph's College,Coll,1866,,1875,,1875,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06435.gif
6448,1888,KY,Lexington,Transylvania University,Coll,1798,,1932,,1800,700,1860,12000,https://library.princeton.edu/visual_materials/mcmullen/gif/01888.gif
6449,1881,KY,Lexington,Law Dept. of Kentucky University,Law coll,1865,,1875,,1870,2335,1875,2201,https://library.princeton.edu/visual_materials/mcmullen/gif/01881.gif
6450,1890,KY,Lexington,Transylvania Univesity - Law Department,Law coll,,1824,1858,,1824,430,1858,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/01890.gif
6451,1917,KY,Louisville,Theological Seminary of the P.E. Church,Theo coll,1834,,1884,,1834,3000,1875,1654,https://library.princeton.edu/visual_materials/mcmullen/gif/01917.gif
6452,1916,KY,Louisville,Southern Baptist Theological Seminary,Sem,1859,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01916.gif
6453,1834,KY,Danville,Danville Theological Seminary,Theo coll,1853,,1884,,1858,2000,1875,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/01834.gif
6454,1826,KY,Lexington,Western Baptist Theological Institute,Theo coll,1845,,1850,,1850,2000,1850,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/01826.gif
6455,1809,KY,Bardstown,St. Joseph's Ecclesiastical Seminary,Theo coll,1820,,1870,,1870,3600,1870,3600,https://library.princeton.edu/visual_materials/mcmullen/gif/01809.gif
6456,1801,KY,Howlett,College of St. Thomas Seminary,Theo coll,,1816,1816,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01801.gif
6457,1908,KY,Louisville,Louisville Law School,Law coll,,1850,1850,,1850,1000,1850,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/01908.gif
6458,1857,KY,Glascow,Liberty Female College,Coll,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01857.gif
6459,1957,KY,Pervee? Valley,Kentucky College for Young Ladies,Coll,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01957.gif
6460,1971,KY,Shelbyville,Shelby College,Coll,1841,,1858,,1850,4000,1858,4000,https://library.princeton.edu/visual_materials/mcmullen/gif/01971.gif
6461,1965,KY,Russellville,Bethel College,Coll,1856,,1884,,1856,3000,1875,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/01965.gif
6462,1963,KY,Richmond,Central University,Coll,1874,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01963.gif
6463,1959,KY,Princeton,Cumberland College,Coll,1826,,1850,,1834,1000,1858,1210,https://library.princeton.edu/visual_materials/mcmullen/gif/01959.gif
6464,1952,KY,Paducah,Paducah University,Coll,1851,,1858,,1858,750,1858,750,https://library.princeton.edu/visual_materials/mcmullen/gif/01952.gif
6465,1931,KY,Millersburg,Kentucky Wesleyan College - Kavanaugh Library,Coll,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01931.gif
6466,1879,KY,Lexington,Kentucky University,Coll,1858,,1884,,1870,3000,1875,3261,https://library.princeton.edu/visual_materials/mcmullen/gif/01879.gif
6467,1875,KY,Lebanon,St. Mary's College,Coll,1837,,1858,,1845,5000,1850,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/01875.gif
6468,1872,KY,Lagrange,Masonic University,Coll,1844,,1844,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01872.gif
6469,1860,KY,Harrodsburg,Bacon College,Coll,1836,,1859,,1845,1200,1858,625,https://library.princeton.edu/visual_materials/mcmullen/gif/01860.gif
6470,1859,KY,Greenville,Presbyterian College,Coll,1849,,1858,,1858,1300,1858,1300,https://library.princeton.edu/visual_materials/mcmullen/gif/01859.gif
6471,1858,KY,Glasgow,Urania College,Coll,1840,,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01858.gif
6472,1850,KY,Georgetown,Georgetown College,Coll,1830,,1884,,1830,5100,1875,7000,https://library.princeton.edu/visual_materials/mcmullen/gif/01850.gif
6473,1849,KY,Garnettsville,Salem College,Coll,1865,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01849.gif
6474,1836,KY,Eminence,Eminence College,Coll,1860,,1884,,1875,1550,1875,1550,https://library.princeton.edu/visual_materials/mcmullen/gif/01836.gif
6475,1829,KY,Danville,Centre College,Coll,1824,,1884,,1845,4000,1875,4160,https://library.princeton.edu/visual_materials/mcmullen/gif/01829.gif
6476,1819,KY,Clinton,Clinton College Reference Library,Coll,1874,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01819.gif
6477,1818,KY,Cecilian,Cecilian College,Coll,1870,,1884,,1870,1000,1870,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/01818.gif
6478,1812,KY,Bowling Green,Southern College,Coll,1827,,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01812.gif
6479,1810,KY,Berea,Berea College,Coll,1865,,1884,,1875,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/01810.gif
6480,1802,KY,Bardstown,St. Joseph's College,Coll,1824,,1884,,1845,7000,1875,3500,https://library.princeton.edu/visual_materials/mcmullen/gif/01802.gif
6481,1798,KY,Augusta,Augusta College,Coll,1822,,,1858,1834,2000,1855,3000,https://library.princeton.edu/visual_materials/mcmullen/gif/01798.gif
6482,6403,TN,Nashville,University of Nashville Medical Dept,Med coll,1850,,1900,,1870,2000,1870,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06403.gif
6483,6360,TN,Lebanon,Cumberland University Theological Dept,Theo coll,1854,,1858,,1858,7000,1858,7000,https://library.princeton.edu/visual_materials/mcmullen/gif/06360.gif
6484,6359,TN,Lebanon,Cumberland University Law Dept,Law coll,1848,,1870,,1870,2000,1870,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06359.gif
6485,6379,TN,Memphis,State Female College,Coll,1858,,1870,,1870,670,1870,670,https://library.princeton.edu/visual_materials/mcmullen/gif/06379.gif
6486,6423,TN,Winchester,Mary Sharp College,Coll,1855,,1884,,1858,600,1870,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/06423.gif
6487,42112,TN,Washington County,Washington Female College,Coll,1868,,1870,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/42112.gif
6488,6361,TN,McKenzie,Bethel College,Coll,,1875,1884,,1875,404,1875,404,https://library.princeton.edu/visual_materials/mcmullen/gif/06361.gif
6489,6415,TN,Washington County,Washington College Library,Coll,1798,,,1863,1845,1000,1858,1800,https://library.princeton.edu/visual_materials/mcmullen/gif/06415.gif
6490,6368,TN,Memphis,Christian Brothers' College,Coll,1872,,1884,,1875,1200,1875,1200,https://library.princeton.edu/visual_materials/mcmullen/gif/06368.gif
6491,6389,TN,Nashville,Central Tennessee College,Coll,1870,,1884,,1870,350,1875,800,https://library.princeton.edu/visual_materials/mcmullen/gif/06389.gif
6492,6391,TN,Nashville,Fisk University,Coll,1870,,1884,,1870,150,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/06391.gif
6493,31028,TN,Nashville,Nashville College for Young Ladies,Coll,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31028.gif
6494,6410,TN,Nashville,Vanderbilt University,Coll,1875,,1884,,1875,6000,1875,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/06410.gif
6495,6417,TN,Sewanee,University of the South - Hodgson Library,Coll,1867,,1884,,1875,6000,1875,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/06417.gif
6496,6414,TN,Tusculum,Greeneville and Tusculum College,Coll,1865,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06414.gif
6497,6313,TN,Athens,East Tennessee Wesleyan University,Coll,1867,,1875,,1870,1000,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/06313.gif
6498,6334,TN,Gallatin,Neophagen Male and Female College,Coll,1873,,1875,,1875,1200,1875,1200,https://library.princeton.edu/visual_materials/mcmullen/gif/06334.gif
6499,6342,TN,Jackson,Southwestern Baptist University,Coll,1874,,1884,,1875,436,1875,436,https://library.princeton.edu/visual_materials/mcmullen/gif/06342.gif
6500,31011,TN,LaGrange,LaGrange Synodical College,Coll,,1860,1860,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31011.gif
6501,6362,TN,Madisonville,Hiawassee College,Coll,1849,,1884,,1856,1100,1875,1480,https://library.princeton.edu/visual_materials/mcmullen/gif/06362.gif
6502,6365,TN,Maryville,Maryville College - Southern and Western Theological Seminary,Theo coll,1819,,1884,,1830,4000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06365.gif
6503,6382,TN,Clarksville,Stewart College,Coll,1851,,,1855,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06382.gif
6504,6383,TN,Massy Creek,Massey Creek Baptist College,Coll,1855,,1884,,1858,250,1858,250,https://library.princeton.edu/visual_materials/mcmullen/gif/06383.gif
6505,6386,TN,Murfreesboro,Union University,Coll,1848,,1870,,1850,300,1870,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06386.gif
6506,6404,TN,Nashville,University of Nashville - Western Military Institute,Mil acad,1807,,1990,,1824,100,1870,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/06404.gif
6507,6317,TN,Clarksville,Stewart College - South Western Presbyterian University,Coll,1855,,1884,,1875,1100,1875,1100,https://library.princeton.edu/visual_materials/mcmullen/gif/06317.gif
6508,6330,TN,Franklin College,Franklin College,Coll,1845,,,1862,1850,1000,1860,3500,https://library.princeton.edu/visual_materials/mcmullen/gif/06330.gif
6509,6321,TN,Columbia,Jackson College,Coll,1834,,,1862,1845,1250,1862,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/06321.gif
6510,6338,TN,Greenville,Greenville and Tusculum College,Coll,1800,,1875,,1833,3500,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/06338.gif
6511,6341,TN,Irving College,Irving College,Coll,1851,,1858,,1858,312,1858,312,https://library.princeton.edu/visual_materials/mcmullen/gif/06341.gif
6512,6343,TN,Jackson,W. Tennessee College,Coll,1843,,1865,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06343.gif
6513,6347,TN,Knoxville,E. Tennessee University,Coll,1819,,1884,,1833,1400,1875,3039,https://library.princeton.edu/visual_materials/mcmullen/gif/06347.gif
6514,6357,TN,LaGrange,La Grange College,Coll,1857,,1858,,1858,485,1858,485,https://library.princeton.edu/visual_materials/mcmullen/gif/06357.gif
6515,6358,TN,Lebanon,Cumberland University,Coll,1842,,1884,,1850,4000,1875,7000,https://library.princeton.edu/visual_materials/mcmullen/gif/06358.gif
6516,1312,IN,Bloomington,Indiana University,Coll,1828,,1884,,1845,1765,1875,5300,https://library.princeton.edu/visual_materials/mcmullen/gif/01312.gif
6517,1314,IN,Bloomington,Indiana State University Law School,Law coll,1843,,1875,,1870,1000,1875,700,https://library.princeton.edu/visual_materials/mcmullen/gif/01314.gif
6518,1325,IN,Brookville,Brookville College,Coll,1851,,1870,,1870,2000,1870,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/01325.gif
6519,1335,IN,Centerville,White Water College,Coll,,1858,1858,,1858,600,1858,600,https://library.princeton.edu/visual_materials/mcmullen/gif/01335.gif
6520,1353,IN,Crawfordsville,Wabash College,Coll,1835,,1884,,1838,2000,1875,10482,https://library.princeton.edu/visual_materials/mcmullen/gif/01353.gif
6521,1414,IN,Hartsville,Hartsville University,Coll,1852,,1884,,1875,700,1875,700,https://library.princeton.edu/visual_materials/mcmullen/gif/01414.gif
6522,1380,IN,Ft. Wayne,Concordia College,Coll,1850,,1884,,1875,4000,1875,4000,https://library.princeton.edu/visual_materials/mcmullen/gif/01380.gif
6523,1382,IN,Ft. Wayne,Ft. Wayne College,Coll,1851,,1884,,1875,600,1875,600,https://library.princeton.edu/visual_materials/mcmullen/gif/01382.gif
6524,1387,IN,Franklin,Franklin College,Coll,1844,,1884,,1850,600,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/01387.gif
6525,1396,IN,Greencastle,Indiana Asbury University,Coll,1837,,1884,,1850,2700,1875,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/01396.gif
6526,1408,IN,South Hanover,Hanover College,Coll,1827,,1884,,1850,1700,1875,4300,https://library.princeton.edu/visual_materials/mcmullen/gif/01408.gif
6527,1417,IN,Irvington,North Western Christian University,Coll,1860,,1884,,1870,3000,1875,4000,https://library.princeton.edu/visual_materials/mcmullen/gif/01417.gif
6528,1471,IN,Logansport,Smithson College,Coll,,1873,1875,,1875,350,1875,350,https://library.princeton.edu/visual_materials/mcmullen/gif/01471.gif
6529,1482,IN,Merome,Union Christian College,Coll,1858,,1884,,1870,300,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/01482.gif
6530,1488,IN,Moore's Hill,Moore's Hill College,Coll,1854,,1884,,1875,424,1875,424,https://library.princeton.edu/visual_materials/mcmullen/gif/01488.gif
6531,1512,IN,North Bend,University of Notre Dame,Coll,1843,,1875,,1850,2000,1875,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/01512.gif
6532,12092,IN,Indianapolis,Physiometrical College of Indiana,Med coll,1873,,1900,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12092.gif
6533,1453,IN,Lafayette,Purdue University,Sci eng coll,1875,,1884,,1875,800,1875,800,https://library.princeton.edu/visual_materials/mcmullen/gif/01453.gif
6534,1502,IN,New Albany,Theological Seminary,Theo coll,1830,,,,1850,4500,1850,4500,https://library.princeton.edu/visual_materials/mcmullen/gif/01502.gif
6535,1539,IN,Richmond,Earlham College,Coll,1860,,1884,,1870,3000,1875,2200,https://library.princeton.edu/visual_materials/mcmullen/gif/01539.gif
6536,1548,IN,Ridgeville,Ridgeville College,Coll,1869,,1875,,1875,300,1875,300,https://library.princeton.edu/visual_materials/mcmullen/gif/01548.gif
6537,1560,IN,St. Meinrod,St. Meinrod's College,Theo coll,1854,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01560.gif
6538,1559,IN,St. Meinrad,St. Meinrad's College,Coll,1860,,1884,,1870,4000,1875,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/01559.gif
6539,1600,IN,Vincennes,Vincennes University,Coll,1858,,1884,,1859,103,1859,103,https://library.princeton.edu/visual_materials/mcmullen/gif/01600.gif
6540,975,IL,Chicago,Bell's Commerical College,Bus coll,1854,,1857,,1857,2000,1857,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/00975.gif
6541,1217,IL,Rockford,Rockford College,Coll,1850,,1902,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01217.gif
6542,1026,IL,chicago,Women's Hospital Medical School,Med coll,1870,,,1871,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01026.gif
6543,1014,IL,Chicago,Rush Medical School,Med coll,1843,,1902,,1858,200,1858,200,https://library.princeton.edu/visual_materials/mcmullen/gif/01014.gif
6544,1000,IL,Chicago,Hahnemann Medical College,Med coll,1855,,1904,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01000.gif
6545,990,IL,Chicago,Chicago Medical College,Med coll,1859,,,1891,1870,1000,1870,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/00990.gif
6546,985,IL,Chicago,Chicago College of Pharmacy,Med coll,1859,,1884,,1870,2000,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/00985.gif
6547,976,IL,Chicago,Bennett College of Eclectic Medicine and Surgery,Med coll,1868,,1904,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/00976.gif
6548,1103,IL,Irvington,Illinois Agri. College,Agri coll,1866,,1875,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/01103.gif
6549,1055,IL,Elmhurst,Evangilical Lutheran Seminary,Theo coll,1867,,1902,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01055.gif
6550,1267,IL,Upper Alton,Shurtleff College,Theo coll,1866,,1884,,1875,1260,1875,1260,https://library.princeton.edu/visual_materials/mcmullen/gif/01267.gif
6551,1235,IL,Springfield,Concordia Seminary,Theo coll,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01235.gif
6552,1159,IL,Morgan Park,Baptist Union Theological Seminary,Theo coll,1867,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01159.gif
6553,1154,IL,Monmouth,U.P. Theological Seminary of the Northwest,Theo coll,1839,,1870,,1870,2050,1870,2050,https://library.princeton.edu/visual_materials/mcmullen/gif/01154.gif
6554,1146,IL,Mendota,Wartburg Seminary,Theo coll,1853,,1875,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01146.gif
6555,1145,IL,Mendota,Mendota Wesleyan Seminary,Theo coll,1856,,1856,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01145.gif
6556,1063,IL,Evanston,Northwestern University,Theo coll,1856,,1904,,1867,3300,1875,3000,https://library.princeton.edu/visual_materials/mcmullen/gif/01063.gif
6557,1023,IL,Chicago,University of St. Mary's of the Lake,Theo coll,1844,,1867,,1867,6000,1867,6000,https://library.princeton.edu/visual_materials/mcmullen/gif/01023.gif
6558,1012,IL,Chicago,Presbyterian Theological Seminary of the Northwest,Theo coll,1859,,,1886,1867,8000,1875,8000,https://library.princeton.edu/visual_materials/mcmullen/gif/01012.gif
6559,992,IL,Chicago,Chicago Theological Seminary,Theo coll,1855,,1884,,1857,710,1875,5500,https://library.princeton.edu/visual_materials/mcmullen/gif/00992.gif
6560,974,IL,Chicago,Baptist Theological Seminary,Theo coll,1867,,,1892,1870,10000,1875,15000,https://library.princeton.edu/visual_materials/mcmullen/gif/00974.gif
6561,959,IL,Carlinville,Carlinville Theological Seminary,Theo coll,,1845,1845,,1845,700,1845,700,https://library.princeton.edu/visual_materials/mcmullen/gif/00959.gif
6562,957,IL,Carlinville,Blackburn Theological Seminary,Theo coll,1857,,1870,,1870,700,1870,700,https://library.princeton.edu/visual_materials/mcmullen/gif/00957.gif
6563,1022,IL,Chicago,Law School of the University of Chicago,Law coll,1870,,,1873,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01022.gif
6564,1020,IL,Chicago,Union College of Law,Law coll,1873,,1891,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/01020.gif
6565,941,IL,Bloomington,Illinois Wesleyan University Law Dept.,Law coll,1874,,1875,,1875,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/00941.gif
