PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
1641,2388,MD,Sandy Spring,Sandy Spring Library Co.,Socl,1841,,1875,,1850,500,1875,1200,https://library.princeton.edu/visual_materials/mcmullen/gif/02388.gif
1642,95042,DC,Georgetown,Peabody Library Assoc.,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95042.gif
1643,95043,DC,Washington,Jefferson Library,Socl,,1833,1833,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95043.gif
1644,826,DC,Washington,Washington Library,Socl,1811,,1870,,1815,900,1870,10000,https://library.princeton.edu/visual_materials/mcmullen/gif/00826.gif
1645,825,DC,Washington,Washington Library,Socl,1797,,,1849,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00825.gif
1646,761,DC,Washington,,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00761.gif
1647,756,DC,Washington,Columbian Library Of Capital Hill Inc.,Socl,1852,,1859,,1858,900,1858,900,https://library.princeton.edu/visual_materials/mcmullen/gif/00756.gif
1648,752,DC,Washington,Carroll Inst.,Socl,1873,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00752.gif
1649,737,DC,Georgetown,Columbian Library,Socl,1794,,1804,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00737.gif
1650,6608,VA,Alexandria,Alexandria Library,Socl,1794,,1884,,1856,4481,1875,4271,https://library.princeton.edu/visual_materials/mcmullen/gif/06608.gif
1651,6614,VA,Berryville,Library Assoc.,Socl,,1858,1858,,1858,600,1858,600,https://library.princeton.edu/visual_materials/mcmullen/gif/06614.gif
1652,95044,VA,Charlottesville,Albemarle Library Society,Socl,,1823,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95044.gif
